Operating Systems,What operating system are you using?,OSX
Operating Systems,What operating system do you dislike?,Windows
Operating Systems,What operating system does alex use?,Gentoo
Operating Systems,What operating system is on your server?,Ubuntu
Operating Systems,What security distro do you have in a VM?,Kali
Programming,What scripting language are you learning?,Python
Programming,What programming language does JHU want you to learn?,Java
Programming,What scripting language is native in unix?,Bash
Programming,What scripting language do web browsers use?,Javascript
Programming,What programming language are most programs written in?,C++
